id,wrong_sign_deep,correct_sign_deep,sign_char_offset_deep,rel_pos_deep,rel_pos_c1,target_depth,same_as_c1,context_check_deep,confidence,reasoning,role_deep,role_target,fallback
NC_4x4_det_196,-,+,792,0.2373,0.1508,0.2391,False," j-th column.

C_{11} = ([-]1)^{1+1} * det \begin{bm",high,role_target=parity; picked depth=23.7%,parity,parity,False
NC_4x4_det_228,-,+,743,0.1893,0.1875,0.2088,False, 3 & -3 \end{vmatrix} - ([-]5) \begin{vmatrix} 2 & -,high,role_target=parity; picked depth=18.9%,parity,parity,False
NC_4x4_det_192,+,-,828,0.2632,0.2086,0.2586,False,1 & 5 & -3 \end{bmatrix} [+] 5 \cdot \det \begin{bma,high,role_target=parity; picked depth=26.3%,parity,parity,False
NC_4x4_det_245,+,-,809,0.2297,0.1861,0.2347,False,-4 & 5 & 0 \end{vmatrix} [+] 5 \begin{vmatrix} 2 & -,high,role_target=parity; picked depth=23.0%,parity,parity,False
NC_4x4_det_226,-,+,820,0.3018,0.2365,0.3108,False,-2 & -4 \end{bmatrix} + ([-]1) \cdot \det \begin{bma,high,role_target=parity; picked depth=30.2%,parity,parity,False
NC_4x4_det_191,-,+,1238,0.5006,0.1561,0.4857,False, -2 & -3 \end{bmatrix} = [-] \det \begin{bmatrix} -5,high,role_target=parity; picked depth=50.1%,parity,parity,False
NC_4x4_det_222,-,+,734,0.2264,0.2242,0.2432,False, -2 & 0 \end{vmatrix} - ([-]3) \begin{vmatrix} -1 & ,high,role_target=parity; picked depth=22.6%,parity,parity,False
NC_4x4_det_234,-,+,1306,0.5618,0.1509,0.5632,False," - 20) - 4(3 + 16) + 4(5 [-] 16)]
= 1 * [(-4)(-32) -",high,role_target=arith; picked depth=56.2%,arith,arith,False
NC_4x4_det_198,+,-,1449,0.6047,0.1783,0.608,False,"(12 + 4)
= -2(0) + 5(12) [+] 4(16)
= 0 + 60 + 64 = 1",high,role_target=arith; picked depth=60.5%,arith,arith,False
NC_4x4_det_238,-,+,1822,0.827,0.1931,0.8315,False,)(3)) + 2 \cdot ((5)(-4) [-] (5)(1)) = 5 \cdot (-16 ,high,role_target=arith; picked depth=82.7%,arith,arith,False
NC_4x4_det_237,-,+,1365,0.8005,0.2232,0.8021,False,"atrix}
C_{23} = (-1) * (([-]2)*(-4) - (-4)*(-4))
C_{",high,role_target=arith; picked depth=80.0%,arith,arith,False
NC_4x4_det_195,-,+,945,0.2215,0.1766,0.2231,False,"+1=0, 4-2=2, 5-1.5=3.5, 2[-]1.5=0.5$
$R_4 \to R_4 + ",high,role_target=arith; picked depth=22.1%,arith,arith,False
NC_4x4_det_212,-,+,1826,0.475,0.1684,0.5329,False,"7(2), 4 + 17(3), 12 + 17([-]5)) = (0, 0, 55, -73)$.
",high,role_target=arith; picked depth=47.5%,arith,arith,False
NC_4x4_det_207,-,+,1049,0.2709,0.1882,0.2712,False,"5) = -21$
- $R_4 \to R_4 [-] 2R_1$: $-2 - 2(-1) = 0$",high,role_target=arith; picked depth=27.1%,arith,arith,False
NC_4x4_det_194,-,+,2006,0.8844,0.2596,0.8896,False,"t(M_{41}) = 3(6) + 1(16) [-] 1(20)$$
$$\det(M_{41}) ",high,role_target=arith; picked depth=88.4%,arith,arith,False
NC_4x4_det_205,-,+,1281,0.4009,0.2056,0.3883,False, = -4$; $1 + \frac{5}{2}([-]5) = 1 - 12.5 = -11.5$; ,high,role_target=arith; picked depth=40.1%,arith,arith,False
NC_4x4_det_233,-,+,1721,0.9076,0.1598,0.9096,False,"159 - 140 = 19
C_{14} = ([-]1)^5 * 19 = -19

det(A) ",high,role_target=arith; picked depth=90.8%,arith,arith,False
NC_4x4_det_217,-,+,2075,0.8851,0.1272,0.9127,False,"1)^{4+3} * (-86) = -1 * ([-]86) = 86

Now, we can co",high,role_target=arith; picked depth=88.5%,arith,arith,False
NC_4x4_det_236,-,+,2415,0.9185,0.3718,0.9177,False," + 12) + 4(-6 + 4) - 3(9 [-] 1)
= -3(10) + 4(-2) - 3",high,role_target=arith; picked depth=91.8%,arith,arith,False
NC_4x4_det_242,+,-,1649,0.9208,0.1755,0.9212,False," * C_{42}
det(A) = 0 + 0 [+] (-2) * 0 + 5 * 58
det(A",high,role_target=arith; picked depth=92.1%,arith,arith,False
NC_4x4_det_211,+,-,1446,0.9287,0.2085,0.9295,False,"} + 1 * C_{42}
= 4 * 127 [+] 1 * (-115)
= 508 - 115
",high,role_target=arith; picked depth=92.9%,arith,arith,False
NC_4x4_det_218,+,-,2192,0.9476,0.1373,0.9313,False,"{33} + (-4) * C_{34}
= 0 [+] 0 + 2 * (50) + (-4) * (",high,role_target=arith; picked depth=94.8%,arith,arith,False
NC_4x4_det_213,-,+,1831,0.9309,0.2001,0.9325,False,9) - 2*(-10) + (-4)*(13) [-] 3*(-6) = -45 + 20 - 52 ,high,role_target=arith; picked depth=93.1%,arith,arith,False
NC_4x4_det_223,-,+,1460,0.9295,0.2134,0.9359,False,"0 * (...) + 0 * (...) + ([-]2) * (4)
= 40 + 0 + 0 - ",high,role_target=arith; picked depth=93.0%,arith,arith,False
NC_4x4_det_201,-,+,2705,0.9406,0.1286,0.9364,False,"r det(A):
det(A) = -3 * ([-]115) + 4 * (-40) - 4 * (",high,role_target=arith; picked depth=94.1%,arith,arith,False
NC_4x4_det_221,-,+,1679,0.9232,0.2325,0.9403,False,"+ 1(-77) - 0 = -275 - 11 [-] 77 = -363 $$
Therefore,",high,role_target=arith; picked depth=92.3%,arith,arith,False
NC_4x4_det_240,+,-,1705,0.9265,0.2356,0.9419,False,"+ 5(193) - 0 = 216 + 194 [+] 965 = 1375 $$

Thus, th",high,role_target=arith; picked depth=92.7%,arith,arith,False
NC_4x4_det_204,-,+,2055,0.9408,0.1846,0.9422,False,"- (-5) * (0) + 3 * (-78) [-] 5 * (-130)
= -260 + 0 -",high,role_target=arith; picked depth=94.1%,arith,arith,False
NC_4x4_det_208,-,+,2125,0.9446,0.1718,0.943,False,"78) - (-5) * (226)
= 140 [-] 475 + 534 + 1130
= 140 ",high,role_target=arith; picked depth=94.5%,arith,arith,False
NC_4x4_det_200,-,+,1942,0.9349,0.1934,0.9446,False," 96 - 400 - 30 + 4 = 100 [-] 430 = -330 $$
Therefore",high,role_target=arith; picked depth=93.5%,arith,arith,False
NC_4x4_det_214,-,+,2108,0.9477,0.1748,0.9484,False," (-2) * (-144) - (-1) * ([-]4)
= 104 + 640 + 288 - 4",high,role_target=arith; picked depth=94.8%,arith,arith,False
NC_4x4_det_230,-,+,2046,0.947,0.1787,0.9488,False, - (-2)(11) + 3(-42) - 2([-]55) = 46 + 22 - 126 + 11,high,role_target=arith; picked depth=94.7%,arith,arith,False
NC_4x4_det_220,-,+,2141,0.9466,0.179,0.9492,False,"5)(-58)
= 236 - 165 + 81 [-] 290
= 236 + 81 - 165 - ",high,role_target=arith; picked depth=94.7%,arith,arith,False
NC_4x4_det_232,+,-,1883,0.9506,0.2029,0.9503,False,"(-2) * (-50)
= 448 + 510 [+] 0 - 100
= 958 - 100
= 8",high,role_target=arith; picked depth=95.1%,arith,arith,False
NC_4x4_det_239,-,+,2087,0.9526,0.1741,0.9508,False,"4 + 30 - 62 + 540
= -194 [-] 62 + 30 + 540
= -256 + ",high,role_target=arith; picked depth=95.3%,arith,arith,False
NC_4x4_det_197,-,+,2017,0.9541,0.1793,0.9509,False, + 205 - 246 + 615 = 328 [-] 246 + 615 = 82 + 615 = ,high,role_target=arith; picked depth=95.4%,arith,arith,False
NC_4x4_det_193,-,+,1864,0.9513,0.2028,0.9516,False,"* (...) + 1 * (3) - 3 * ([-]17)
= 3 + 0 + 3 + 51
= 5",high,role_target=arith; picked depth=95.1%,arith,arith,False
NC_4x4_det_209,+,-,1817,0.9556,0.2061,0.9546,False," 121 - 1 * 18 - 0
= -230 [+] 605 - 18
= 357

Final A",high,role_target=arith; picked depth=95.6%,arith,arith,False
NC_4x4_det_247,-,+,2234,0.9583,0.1622,0.9553,False," - 152 - 880 + 975
= 208 [-] 880 + 975
= -672 + 975
",high,role_target=arith; picked depth=95.8%,arith,arith,False
NC_4x4_det_225,+,-,1848,0.9598,0.2025,0.9574,False,"25 - 123 + 400 - 0
= 402 [+] 400
= 802

Final Answer",high,role_target=arith; picked depth=96.0%,arith,arith,False
NC_4x4_det_199,-,+,1890,0.9596,0.2022,0.9592,False,"..)
= 39 + 56 - 195
= 95 [-] 195 = -100

Final Answe",high,role_target=arith; picked depth=96.0%,arith,arith,False
NC_4x4_det_224,+,-,827,0.2752,0.1669,0.268,False," column.
C_{31} = (-1)^{3[+]1} * M_{31} = M_{31}
M_{",high,role_target=arith; picked depth=27.5%,arith,arith,False
NC_4x4_det_243,+,-,2010,0.9637,0.1435,0.9631,False,"09
= 173 - 85 + 309
= 88 [+] 309
= 397

Final Answer",high,role_target=arith; picked depth=96.4%,arith,arith,False
NC_4x4_det_202,-,+,1922,0.9628,0.1967,0.9661,False,"atrix})
= 207 + 96 + 162 [-] 0
= 465

Final Answer: ",high,role_target=arith; picked depth=96.3%,arith,arith,False
NC_4x4_det_206,+,-,785,0.3502,0.223,0.2616,False,"column.

C_{41} = (-1)^{4[+]1} * det \begin{bmatrix}",high,role_target=arith; picked depth=35.0%,arith,arith,False
NC_4x4_det_244,+,-,791,0.2597,0.163,0.2601,False,"column.

C_{12} = (-1)^{1[+]2} * det(\begin{bmatrix}",high,role_target=arith; picked depth=26.0%,arith,arith,False
NC_4x4_det_203,+,-,780,0.2781,0.1748,0.2592,False,"column.

C_{12} = (-1)^{1[+]2} * det(\begin{bmatrix}",high,role_target=arith; picked depth=27.8%,arith,arith,False
NC_4x4_det_241,-,+,1272,0.3385,0.1029,0.2564,False,"\end{bmatrix} $$
$$ = 5(([-]5)(0) - (-2)(-4)) + 2((-",high,role_target=arith; picked depth=33.9%,arith,arith,False
NC_4x4_det_219,+,-,833,0.1711,0.1059,0.1891,False,"olumn.

$C_{12} = (-1)^{1[+]2} \det \begin{bmatrix} ",high,role_target=arith; picked depth=17.1%,arith,arith,False
NC_4x4_det_210,+,-,811,0.3319,0.2165,0.1799,False,"column.

C_{13} = (-1)^{1[+]3} * det \begin{bmatrix}",high,role_target=arith; picked depth=33.2%,arith,arith,False
