id,wrong_sign_deep,correct_sign_deep,sign_char_offset_deep,rel_pos_deep,rel_pos_c1,target_depth,same_as_c1,context_check_deep,confidence,reasoning,role_deep,role_target,fallback
ibp_ptc_n0_b11,-,+,753,0.3748,0.48,0.4157,False," formula $\int u dv = uv [-] \int v du$, we have
$$ ",high,role_target=formula; picked depth=37.5%,formula,formula,False
ibp_pts_n5_b197,+,-,2525,0.6433,0.0653,0.6436,False,3}{197^2} x^2 \sin(197x) [+] \frac{6}{197^3} x \cos(,high,role_target=symbolic; picked depth=64.3%,symbolic,symbolic,False
ibp_pts_n7_b233,-,+,3403,0.6317,0.053,0.6345,False,"3^5} \sin(233x)$.
$I_2 = [-]\frac{1}{233} x^5 \cos(2",high,role_target=symbolic; picked depth=63.2%,symbolic,symbolic,False
ibp_ptc_n7_b31,+,-,3825,0.6802,0.071,0.678,False,rac{1}{31} x^4 \cos(31x) [+] \frac{4}{31^2} x^3 \sin,high,role_target=symbolic; picked depth=68.0%,symbolic,symbolic,False
ibp_ptc_n8_b193,+,-,4172,0.6132,0.0405,0.6152,False,c{1}{193} x^5 \cos(193x) [+] \frac{5}{193^2} x^4 \si,high,role_target=symbolic; picked depth=61.3%,symbolic,symbolic,False
ibp_ptc_n10_b131,-,+,2721,0.5759,0.1002,0.5761,False," (coefficient) * x^(10-2k[-]1) * cos(131x)

where k ",high,role_target=symbolic; picked depth=57.6%,symbolic,symbolic,False
ibp_ptc_n5_b3,-,+,2114,0.7194,0.1269,0.7258,False,"cos(3x) - (2/9)x sin(3x) [-] (2/27)cos(3x)

∫ x^4 si",high,role_target=symbolic; picked depth=71.9%,symbolic,symbolic,False
ibp_ptc_n5_b11,-,+,2683,0.6957,0.0938,0.7024,False,rac{6}{1331} x \sin(11x) [-] \frac{6}{14641} \cos(11,high,role_target=symbolic; picked depth=69.6%,symbolic,symbolic,False
ibp_ptc_n7_b59,+,-,2828,0.6776,0.1094,0.679,False,"dx]
= (1/59)x^7 sin(59x) [+] (7/59^2)x^6 cos(59x) - ",high,role_target=symbolic; picked depth=67.8%,symbolic,symbolic,False
ibp_ptc_n11_b197,-,+,2046,0.5507,0.5232,0.554,False,"}{197^3} (-\sin(197x))$
$[-] \frac{990x^8}{197^4} \c",high,role_target=symbolic; picked depth=55.1%,symbolic,symbolic,False
