id,wrong_sign_deep,correct_sign_deep,sign_char_offset_deep,rel_pos_deep,rel_pos_c1,target_depth,same_as_c1,context_check_deep,confidence,reasoning,role_deep,role_target,fallback
C_4x4_det_023,+,-,1692,0.6668,0.2929,0.6909,False,"* 7 - 1 * (-8) = 18 - 21 [+] 8 = 5
 
 3. det \begin{",high,role_target=arith; picked depth=66.7%,arith,arith,False
C_4x4_det_038,-,+,2230,0.7009,0.19,0.7011,False,) - (-1)(1)) - 5((-2)(0) [-] (-1)(5)) + 5((-2)(1) - ,high,role_target=arith; picked depth=70.1%,arith,arith,False
NC_4x4_det_1926,-,+,3003,0.6715,0.1822,0.6711,False," - 4 \cdot (-20 + 25) + ([-]4) \cdot (-16 - 10)
\]

",high,role_target=arith; picked depth=67.2%,arith,arith,False
NC_4x4_det_1107,+,-,2777,0.6605,0.8999,0.6609,False,t (-25 - 5) + 3 \cdot (0 [+] 2) + 2 \cdot (0 - 10) \,high,role_target=arith; picked depth=66.0%,arith,arith,False
C_4x4_det_025,+,-,1711,0.6803,0.9619,0.6792,False,")) - 2 * (-2*2 - (-4)*0) [+] 0 * (-2*(-1) - 5*0)
 
 ",high,role_target=arith; picked depth=68.0%,arith,arith,False
NC_4x4_det_1690,-,+,2087,0.7064,0.9723,0.7055,False, 1 * (-4)) - 4 * (-2 * 2 [-] 1 * 2) + (-4) * (-2 * (,high,role_target=arith; picked depth=70.6%,arith,arith,False
NC_4x4_det_0862,+,-,1679,0.5711,0.9428,0.569,False,"-15) + (-3) * (-15)
= 45 [+] 45
= 90

3. Compute the",high,role_target=arith; picked depth=57.1%,arith,arith,False
NC_4x4_det_625,-,+,1855,0.6931,0.9408,0.6941,False,-4)(4)) - (-1)((3)(3) - ([-]4)(2)) + 0((3)(4) - (-1),high,role_target=arith; picked depth=69.3%,arith,arith,False
NC_4x4_det_534,-,+,2580,0.5289,0.9663,0.528,False,"- 1 * 18 + (-5) * 22 = 4 [-] 18 - 110 = -124

3. Com",high,role_target=arith; picked depth=52.9%,arith,arith,False
NC_4x4_det_566,+,-,1969,0.5822,0.9006,0.5859,False," 1] + 1 [-16 - 1] - 5 [4 [+] 2] \]

\[ M_{12} = -3 [",high,role_target=arith; picked depth=58.2%,arith,arith,False
NC_4x4_det_0914,+,-,2169,0.9103,0.863,0.9114,False,"

= (-3)(-4 - 10) + 1(-3 [+] 15) + (-3)(6 + 12)

= (",high,role_target=arith; picked depth=91.0%,arith,arith,False
NC_4x4_det_270,-,+,2259,0.7497,0.2159,0.75,False,")(1) - (-5)(-2)) + 0

= ([-]1)*(0 - 25) + 1*(-4 - 10",high,role_target=arith; picked depth=75.0%,arith,arith,False
NC_4x4_det_128,-,+,1726,0.5333,0.148,0.5335,False," * -2) + (-2) * (-1 * -3 [-] 2 * -2)
   = 0 - (-2) *",high,role_target=arith; picked depth=53.3%,arith,arith,False
NC_4x4_det_1092,-,+,1926,0.5211,0.2857,0.5194,False,"ot (-12 + 16) + 5 \cdot ([-]16 - 4)
\]

\[
= -2 \cdo",high,role_target=arith; picked depth=52.1%,arith,arith,False
NC_4x4_det_1547,+,-,1987,0.8711,0.2025,0.8707,False,) = 0 * C11' + (-2) * 23 [+] 4 * 10 = 0 - 46 + 40 = ,high,role_target=arith; picked depth=87.1%,arith,arith,False
NC_4x4_det_018,-,+,1769,0.5126,0.9556,0.5119,False,) * (-2)) - (-4) * (5 * ([-]2) - (-5) * (-3)) + (-3),high,role_target=arith; picked depth=51.3%,arith,arith,False
NC_4x4_det_1860,+,-,3050,0.8944,0.881,0.8901,False,3) \det(M_{12}) + (-1)^{1[+]3} (4) \det(M_{13}) + (-,high,role_target=arith; picked depth=89.4%,arith,arith,False
NC_4x4_det_065,+,-,1816,0.5007,0.8802,0.4996,False," \cdot (-8) + 1 \cdot 20 [+] 4 \cdot (-4)
\]

\[
\de",high,role_target=arith; picked depth=50.1%,arith,arith,False
NC_4x4_det_588,-,+,1795,0.4982,0.915,0.4978,False,left( (-2) \cdot (-2) - ([-]1) \cdot (-3) \right) - ,high,role_target=arith; picked depth=49.8%,arith,arith,False
C_4x4_det_035,+,-,3475,0.9222,0.1269,0.918,False,"   \[
   C_{44} = (-1)^{4[+]4} \cdot 14 = 14
   \]

",high,role_target=arith; picked depth=92.2%,arith,arith,False
NC_4x4_det_1669,-,+,1723,0.4479,0.2984,0.4459,False,cdot \left( (-2) \cdot 3 [-] 0 \cdot (-5) \right) - ,high,role_target=arith; picked depth=44.8%,arith,arith,False
NC_4x4_det_058,-,+,2748,0.9476,0.9476,0.9253,True,"13 - a14 * C14
= 2 * 142 [-] (-1) * 75 + (-1) * 125 ",high,role_target=arith; picked depth=94.8%,arith,arith,False
C_4x4_det_044,-,+,2727,0.9451,0.2036,0.9322,False,"la:

\[ \text{det}(A) = ([-]2)(23) - (-1)(-81) + 5(-",high,role_target=arith; picked depth=94.5%,arith,arith,False
NC_4x4_det_738,-,+,2235,0.9345,0.9683,0.939,False," + 9) - 2(0 + 3)
= 0 + 9 [-] 6
= 3

Now, we can comp",high,role_target=arith; picked depth=93.5%,arith,arith,False
NC_4x4_det_0805,-,+,2169,0.4308,0.9494,0.4088,False,"     \[
     = 2 \cdot (([-]2) \cdot 1 - 1 \cdot 5) ",high,role_target=arith; picked depth=43.1%,arith,arith,False
NC_4x4_det_1716,-,+,3742,0.9449,0.2093,0.9449,False,ext{det}(A) = 1 \cdot 18 [-] 4 \cdot (-38) + (-1) \c,high,role_target=arith; picked depth=94.5%,arith,arith,False
