id,wrong_sign_deep,correct_sign_deep,sign_char_offset_deep,rel_pos_deep,rel_pos_c1,target_depth,same_as_c1,context_check_deep,confidence,reasoning,role_deep,role_target,fallback
ibp_ptc_n5_b67,-,+,3317,0.7634,0.1044,0.7499,False,"on:

∫ x^4 sin(67x) dx = [-](1/67) x^4 cos(67x) + (4",high,role_target=symbolic; picked depth=76.3%,symbolic,symbolic,False
ibp_ptc_n3_b11,+,-,2544,0.7617,0.1892,0.7582,False,"1x) + (2/121) x sin(11x) [+] (2/1331) cos(11x)]

= (",high,role_target=symbolic; picked depth=76.2%,symbolic,symbolic,False
ibp_ptc_n0_b11,+,-,927,0.8597,0.7492,0.8592,False,"x) - 0
= (1/11) sin(11x) [+] C

So, the final simpli",high,role_target=symbolic; picked depth=86.0%,symbolic,symbolic,False
ibp_pts_n0_b7,-,+,865,0.8267,0.7347,0.8059,False," -1/7 cos(7x) - ∫ 0 dx
= [-]1/7 cos(7x) + C

So, the",high,role_target=symbolic; picked depth=82.7%,symbolic,symbolic,False
ibp_ptc_n3_b6,+,-,1931,0.7547,0.2166,0.7518,False,"os(6x) + (1/18)x sin(6x) [+] (1/108)cos(6x)]
= (1/6)",high,role_target=symbolic; picked depth=75.5%,symbolic,symbolic,False
ibp_ptc_n7_b10,+,-,4782,0.7267,0.0669,0.7267,False, · [(-1/10) x^4 cos(10x) [+] (1/25) x^3 sin(10x) + (,high,role_target=symbolic; picked depth=72.7%,symbolic,symbolic,False
ibp_pts_n3_b4,+,-,1594,0.7517,0.2077,0.755,False,"n(4x))
= 1/4 x^2 sin(4x) [+] 1/8 x cos(4x) - 1/32 si",high,role_target=symbolic; picked depth=75.2%,symbolic,symbolic,False
ibp_pts_n8_b83,+,-,1522,0.5736,0.2173,0.5765,False,") dx]
= -x^8 cos(83x)/83 [+] (8/83^2) x^7 sin(83x) -",high,role_target=symbolic; picked depth=57.4%,symbolic,symbolic,False
ibp_ptc_n2_b1,+,-,1265,0.7929,0.3933,0.8308,False," dx
= -x cos(x) + sin(x) [+] C

Now, substitute this",high,role_target=symbolic; picked depth=79.3%,symbolic,symbolic,False
ibp_pts_n6_b10,+,-,3178,0.6507,0.0754,0.6511,False,"0000 [-1/10 x^2 cos(10x) [+] 2/10 ∫ x cos(10x) dx]
=",high,role_target=symbolic; picked depth=65.1%,symbolic,symbolic,False
