case_id,domain,sign_char,char_before,inferred_variant,evidence
NC_4x4_det_226,det_error,-, ,482,' = -1 \\'
NC_4x4_det_1487,det_error,-, ,482,' = -30\n'
NC_4x4_det_1061,det_error,-, ,482,'1} - 3 '
NC_4x4_det_0873,det_error,+, ,plus_482,' 0 + 5 '
NC_4x4_det_1497,det_error,-, ,482,'}) - 1 '
NC_4x4_det_1863,det_error,-, ,482,'1} - 3 '
NC_4x4_det_252,det_error,-, ,482,' = -88\\'
NC_4x4_det_1820,det_error,-, ,482,' = -64\n'
NC_4x4_det_0931,det_error,-, ,482,'}) - 3 '
NC_4x4_det_1244,det_error,-, ,482,' = -78 '
NC_4x4_det_1492,det_error,-, ,482,' = -27\n'
C_4x4_det_020,det_error,+, ,plus_482,'25 + 5 '
NC_4x4_det_437,det_error,+, ,plus_482,'}) + 3 '
NC_4x4_det_1643,det_error,-, ,482,' = -1 \\'
C_4x4_det_006,det_error,-, ,482,'}) - 5 '
NC_4x4_det_1206,det_error,-, ,482,' = -160'
NC_4x4_det_240,det_error,-, ,482,'45 - 40'
NC_4x4_det_120,det_error,+, ,plus_482,' 0 + 4('
NC_4x4_det_262,det_error,-, ,482,'}) - 1 '
NC_4x4_det_1800,det_error,-, ,482,'x} - 0 '
NC_4x4_det_476,det_error,-, ,482,' = -13\\'
NC_4x4_det_679,det_error,-, ,482,'}) - 1 '
NC_4x4_det_1354,det_error,-, ,482,' = -112'
NC_4x4_det_1131,det_error,-, ,482,'x} - 4 '
NC_4x4_det_1419,det_error,-, ,482,' = -39\\'
C_4x4_det_005,det_error,-, ,482,' = -54 '
NC_4x4_det_108,det_error,-, ,482,' = -1 \\'
NC_4x4_det_450,det_error,-, ,482,'1} - 3 '
NC_4x4_det_527,det_error,-, ,482,' = -50\\'
NC_4x4_det_0954,det_error,-, ,482,' = -1 \\'
NC_4x4_det_0824,det_error,-, ,482,' = -68\\'
NC_4x4_det_1004,det_error,-, ,482,'}) - 5 '
NC_4x4_det_1353,det_error,-, ,482,' = -26\\'
C_4x4_det_043,det_error,-, ,482,' = -1 \\'
NC_4x4_det_132,det_error,-, ,482,' = -6\n\\'
C_4x4_det_038,det_error,-, ,482,' = -50\\'
NC_4x4_det_1490,det_error,-, ,482,' = -265'
NC_4x4_det_197,det_error,-, ,482,' = -123'
NC_4x4_det_1813,det_error,-, ,482,' = -1 \\'
NC_4x4_det_1049,det_error,-, ,482,'36 - 15'
NC_4x4_det_0890,det_error,-, ,482,' = -15 '
NC_4x4_det_275,det_error,-, ,482,' = -36\\'
NC_4x4_det_446,det_error,-, ,482,' 4 - 12'
NC_4x4_det_714,det_error,-, ,482,' = -\\de'
NC_4x4_det_0911,det_error,-, ,482,' = -15\\'
NC_4x4_det_606,det_error,-, ,482,' = -122'
NC_4x4_det_1477,det_error,-, ,482,'}) - 4 '
NC_4x4_det_242,det_error,-, ,482,' = -73 '
NC_4x4_det_1050,det_error,-, ,482,' = -28 '
NC_4x4_det_285,det_error,-, ,482,' = -152'
C_4x4_det_005_arch,det_error,-, ,482,' = -54 '
C_4x4_det_006_arch,det_error,-, ,482,'}) - 5 '
C_4x4_det_007_arch,det_error,-, ,482,' = -78 '
C_4x4_det_008_arch,det_error,-, ,482,' = -114'
C_4x4_det_009_arch,det_error,+, ,plus_482,' 0 + 5('
C_4x4_det_010_arch,det_error,-, ,482,'}) - 2 '
C_4x4_det_012_arch,det_error,-, ,482,'1} - 4 '
C_4x4_det_016_arch,det_error,-, ,482,'1} - 5 '
C_4x4_det_017_arch,det_error,-, ,482,' = -(-1'
C_4x4_det_020_arch,det_error,+, ,plus_482,'25 + 5 '
C_4x4_det_024_arch,det_error,-, ,482,' = -168'
ibp_pts_n7_b5,ibp_error,-, ,482,'x) - \\f'
ibp_pts_n8_b12,ibp_error,-, ,482,'x) - \\f'
ibp_pts_n8_b15,ibp_error,-, ,482,'x) - \\f'
ibp_pts_n8_b5,ibp_error,-, ,482,'x) - \\f'
ibp_pts_n8_b9,ibp_error,-, ,482,'x) - \\f'
ibp_pts_n9_b1,ibp_error,-, ,482,'x) - 72'
ibp_pts_n9_b11,ibp_error,-, ,482,'x) - \\f'
ibp_pts_n9_b13,ibp_error,-, ,482,'x) - \\f'
ibp_pts_n9_b2,ibp_error,-, ,482,'x) - \\f'
ibp_pts_n9_b3,ibp_error,-, ,482,'x) - \\f'
ibp_pts_n9_b7,ibp_error,-, ,482,'x) - \\f'
ibp_pts_n9_b9,ibp_error,-, ,482,'x) - \\f'
ibp_ptc_n5_b107,ibp_error,-, ,482,'x) - \\f'
ibp_ptc_n5_b73,ibp_error,-, ,482,'x) - \\f'
ibp_ptc_n5_b89,ibp_error,-, ,482,'x) - \\f'
ibp_ptc_n5_b97,ibp_error,-, ,482,'x) - \\f'
ibp_pts_n10_b101,ibp_error,-, ,482,'x) - \\f'
ibp_pts_n10_b113,ibp_error,-, ,482,'x) - \\f'
ibp_pts_n10_b157,ibp_error,-, ,482,'x) - \\f'
ibp_pts_n10_b17,ibp_error,-, ,482,'x) - \\f'
ibp_pts_n10_b199,ibp_error,-, ,482,'x) - \\f'
ibp_pts_n10_b227,ibp_error,-, ,482,'x) - \\f'
ibp_pts_n10_b23,ibp_error,-, ,482,'x) - \\f'
ibp_pts_n10_b31,ibp_error,-, ,482,'x) - \\f'
ibp_pts_n10_b41,ibp_error,-, ,482,'x) - \\f'
ibp_pts_n10_b43,ibp_error,-, ,482,'x) - \\f'
ibp_pts_n10_b47,ibp_error,-, ,482,'x) - \\f'
ibp_pts_n10_b59,ibp_error,-, ,482,'x) - \\f'
ibp_pts_n10_b67,ibp_error,-, ,482,'x) - \\f'
ibp_pts_n10_b7,ibp_error,-, ,482,'x) - \\f'
ibp_pts_n10_b79,ibp_error,-, ,482,'x) - \\f'
ibp_pts_n10_b83,ibp_error,-, ,482,'x) - \\f'
ibp_pts_n10_b89,ibp_error,-, ,482,'x) - \\f'
ibp_pts_n11_b1,ibp_error,-, ,482,'x) - 11'
ibp_pts_n11_b107,ibp_error,-, ,482,'x) - \\f'
ibp_pts_n11_b127,ibp_error,-, ,482,'x) - \\f'
ibp_pts_n11_b149,ibp_error,-, ,482,'x) - \\i'
ibp_pts_n11_b173,ibp_error,-, ,482,'x) - \\f'
ibp_pts_n11_b211,ibp_error,-, ,482,'x) - \\f'
ibp_pts_n11_b229,ibp_error,-, ,482,'x) - \\f'
NC_4x4_det_206,det_correct_deepsign,-,(,12,' -(-208'
NC_4x4_det_545,det_correct_deepsign,-, ,482,'2) - (-'
NC_4x4_det_493,det_correct_deepsign,+, ,plus_482,'9) + 1('
NC_4x4_det_478,det_correct_deepsign,+,1,plus_12,'^{1+2} '
NC_4x4_det_256,det_correct_deepsign,-,(,12,'= (-1)('
NC_4x4_det_486,det_correct_deepsign,-, ,482,'3) - (-'
NC_4x4_det_502,det_correct_deepsign,-,(,12,'= (-4)('
NC_4x4_det_297,det_correct_deepsign,-,(,12,'- (-1) '
NC_4x4_det_432,det_correct_deepsign,-,(,12,'= (-1)^'
NC_4x4_det_237,det_correct_deepsign,-, ,482,' = -5 \\'
NC_4x4_det_218,det_correct_deepsign,-,(,12,'= (-5) '
NC_4x4_det_559,det_correct_deepsign,-, ,482,' = -(-1'
NC_4x4_det_410,det_correct_deepsign,-,(,12,'= (-1)^'
NC_4x4_det_040,det_correct_deepsign,+, ,plus_482,'x} + 5 '
NC_4x4_det_321,det_correct_deepsign,-, ,482,' = -28\n'
NC_4x4_det_238,det_correct_deepsign,-, ,482,'x} - 4 '
NC_4x4_det_382,det_correct_deepsign,+,"
",plus_12,'} \n+ 4 '
NC_4x4_det_304,det_correct_deepsign,-, ,482,'}) - 0 '
NC_4x4_det_401,det_correct_deepsign,-, ,482,' = -4 \\'
NC_4x4_det_280,det_correct_deepsign,-, ,482,' = -190'
NC_4x4_det_358,det_correct_deepsign,-, ,482,'x} - (-'
NC_4x4_det_512,det_correct_deepsign,-, ,482,'}) - 0 '
NC_4x4_det_233,det_correct_deepsign,-,(,12,'+ (-5) '
NC_4x4_det_475,det_correct_deepsign,+, ,plus_482,'x} + 4 '
NC_4x4_det_448,det_correct_deepsign,-, ,482,' = -5 \\'
NC_4x4_det_520,det_correct_deepsign,-,(,12,'+ (-4) '
NC_4x4_det_272,det_correct_deepsign,-, ,482,'}) - (-'
NC_4x4_det_216,det_correct_deepsign,-, ,482,'}) - 4 '
NC_4x4_det_458,det_correct_deepsign,-, ,482,' = -5 \\'
NC_4x4_det_314,det_correct_deepsign,-, ,482,' = -1 \\'
NC_4x4_det_477,det_correct_deepsign,+, ,plus_482,'4} + a_'
NC_4x4_det_353,det_correct_deepsign,-, ,482,' = -1 \\'
NC_4x4_det_421,det_correct_deepsign,-, ,482,'1} - 0 '
NC_4x4_det_447,det_correct_deepsign,+, ,plus_482,'1} + 0 '
NC_4x4_det_571,det_correct_deepsign,-, ,482,'}) - 0 '
NC_4x4_det_560,det_correct_deepsign,-, ,482,'}) - 0 '
NC_4x4_det_302,det_correct_deepsign,+, ,plus_482,'1} + 0 '
NC_4x4_det_454,det_correct_deepsign,-, ,482,'1} - 0 '
NC_4x4_det_209,det_correct_deepsign,-, ,482,' = -40 '
NC_4x4_det_471,det_correct_deepsign,-, ,482,' = -25 '
NC_4x4_det_565,det_correct_deepsign,-,(,12,'= (-1)^'
NC_4x4_det_265,det_correct_deepsign,-,(,12,'= (-1)^'
NC_4x4_det_323,det_correct_deepsign,-, ,482,' = -23\n'
NC_4x4_det_222,det_correct_deepsign,-,(,12,'= (-1)^'
NC_4x4_det_271,det_correct_deepsign,+, ,plus_482,'x} + 3 '
NC_4x4_det_294,det_correct_deepsign,+, ,plus_482,' 0 + 0 '
NC_4x4_det_387,det_correct_deepsign,-,(,12,'+ (-4) '
NC_4x4_det_585,det_correct_deepsign,+, ,plus_482,'x} + 0 '
NC_4x4_det_494,det_correct_deepsign,-, ,482,' = -90\n'
NC_4x4_det_580,det_correct_deepsign,-, ,482,' = -35\n'
ibp_pts_n3_b4,ibp_correct_deepsign,-, ,482,'uv - \\i'
ibp_ptc_n8_b199,ibp_correct_deepsign,-, ,482,'x) - \\f'
ibp_pts_n1_b2,ibp_correct_deepsign,-, ,482,'\n= -\\fr'
ibp_ptc_n10_b197,ibp_correct_deepsign,+, ,plus_482,'x) + \\f'
ibp_ptc_n8_b113,ibp_correct_deepsign,-, ,482,'t( -\\fr'
ibp_pts_n5_b199,ibp_correct_deepsign,-, ,482,'x) - \\f'
ibp_ptc_n5_b47,ibp_correct_deepsign,-,"
",12,':\n\n- \\('
ibp_pts_n5_b59,ibp_correct_deepsign,+, ,plus_482,'x) + \\f'
ibp_ptc_n4_b5,ibp_correct_deepsign,+, ,plus_482,'x) + \\f'
ibp_ptc_n7_b197,ibp_correct_deepsign,-, ,482,'   - \\('
ibp_ptc_n5_b113,ibp_correct_deepsign,-, ,482,'\n= -\\fr'
ibp_ptc_n8_b151,ibp_correct_deepsign,-, ,482,'x) - \\f'
ibp_ptc_n5_b167,ibp_correct_deepsign,-, ,482,'x) - \\f'
ibp_ptc_n8_b191,ibp_correct_deepsign,-, ,482,'x) - \\f'
ibp_pts_n8_b139,ibp_correct_deepsign,-, ,482,'x) - \\f'
ibp_ptc_n5_b227,ibp_correct_deepsign,+, ,plus_482,'x) + \\f'
ibp_pts_n4_b1,ibp_correct_deepsign,-, ,482,'\n= -x^2'
ibp_ptc_n5_b229,ibp_correct_deepsign,-, ,482,'nt -\\fr'
ibp_pts_n2_b2,ibp_correct_deepsign,+, ,plus_482,'x) + \\f'
ibp_ptc_n5_b223,ibp_correct_deepsign,-, ,482,'nt -\\fr'
ibp_ptc_n5_b151,ibp_correct_deepsign,-, ,482,'nt -\\fr'
ibp_ptc_n5_b199,ibp_correct_deepsign,-, ,482,' = -\\fr'
ibp_pts_n8_b257,ibp_correct_deepsign,-, ,482,'x) - \\f'
ibp_pts_n8_b197,ibp_correct_deepsign,-, ,482,'x) - \\f'
ibp_pts_n2_b15,ibp_correct_deepsign,-, ,482,'\n= -\\fr'
ibp_pts_n0_b2,ibp_correct_deepsign,+, ,plus_482,'x) + \\f'
ibp_pts_n8_b311,ibp_correct_deepsign,+, ,plus_482,'x) + \\f'
ibp_pts_n7_b149,ibp_correct_deepsign,-, ,482,'x) - \\f'
ibp_pts_n5_b97,ibp_correct_deepsign,-, ,482,'x) - \\f'
ibp_ptc_n5_b5,ibp_correct_deepsign,-,(,12,'ft(-\\fr'
ibp_ptc_n9_b29,ibp_correct_deepsign,-, ,482,'x) - \\f'
ibp_pts_n5_b31,ibp_correct_deepsign,-,"
",12,'\\)\n- \\('
ibp_ptc_n4_b7,ibp_correct_deepsign,+, ,plus_482,'x) + \\f'
ibp_ptc_n7_b179,ibp_correct_deepsign,-, ,482,'   - \\('
ibp_ptc_n7_b269,ibp_correct_deepsign,-, ,482,'   - \\('
ibp_ptc_n1_b5,ibp_correct_deepsign,+, ,plus_482,'x) + \\f'
ibp_ptc_n7_b71,ibp_correct_deepsign,-, ,482,'   - \\('
ibp_pts_n3_b9,ibp_correct_deepsign,-, ,482,' = -\\fr'
ibp_ptc_n2_b17,ibp_correct_deepsign,-,(,12,'ft(-\\fr'
ibp_pts_n2_b17,ibp_correct_deepsign,+, ,plus_482,'x) + \\f'
ibp_ptc_n10_b167,ibp_correct_deepsign,+, ,plus_482,'x) + \\f'
ibp_ptc_n3_b1,ibp_correct_deepsign,+, ,plus_482,'x) + 3x'
ibp_ptc_n3_b10,ibp_correct_deepsign,-,"
",12,'\\)\n- \\('
ibp_pts_n2_b13,ibp_correct_deepsign,-,"
",12,'\\)\n- \\('
ibp_ptc_n10_b199,ibp_correct_deepsign,-, ,482,'x) - \\f'
ibp_ptc_n10_b211,ibp_correct_deepsign,-, ,482,'x) - \\f'
ibp_ptc_n2_b1,ibp_correct_deepsign,-, ,482,'x) - 2\\'
ibp_ptc_n10_b41,ibp_correct_deepsign,+, ,plus_482,'x) + \\f'
ibp_pts_n7_b269,ibp_correct_deepsign,-, ,482,'x) - \\f'
ibp_ptc_n3_b4,ibp_correct_deepsign,-,"
",12,'\\)\n- \\('
