id,wrong_sign_deep,correct_sign_deep,sign_char_offset_deep,rel_pos_deep,rel_pos_c1,target_depth,same_as_c1,context_check_deep,confidence,reasoning,role_deep,role_target,fallback
NC_4x4_det_206,-,+,2261,0.6049,0.1733,0.6055,False,")^{4+1} \det(M_{41}) = -([-]208) = 208
\]

### Calcu",high,role_target=arith; picked depth=60.5%,arith,arith,False
NC_4x4_det_545,-,+,2098,0.8099,0.2422,0.8092,False,2 \end{bmatrix} = (5)(2) [-] (-5)(-5) = 10 - 25 = -1,high,role_target=arith; picked depth=81.0%,arith,arith,False
NC_4x4_det_493,+,-,2461,0.5451,0.0976,0.5448,False,_{12}) = -5(-15) - 2(-9) [+] 1(-4) = 75 + 18 - 4 = 8,high,role_target=arith; picked depth=54.5%,arith,arith,False
NC_4x4_det_478,+,-,2835,0.5429,0.0878,0.5393,False,"Thus, \( C_{12} = (-1)^{1[+]2} \det(M_{12}) = -1 \cd",high,role_target=arith; picked depth=54.3%,arith,arith,False
NC_4x4_det_256,-,+,2296,0.5034,0.0996,0.4976,False, -3 & 4 \end{vmatrix} = ([-]1)(4) - (-5)(-3) = -4 - ,high,role_target=arith; picked depth=50.3%,arith,arith,False
NC_4x4_det_486,-,+,2299,0.4904,0.1028,0.4597,False,"3 \end{vmatrix} = (3)(3) [-] (-5)(2) = 9 + 10 = 19
\",high,role_target=arith; picked depth=49.0%,arith,arith,False
NC_4x4_det_502,-,+,1675,0.4324,0.1345,0.4104,False,-2 & -1 \end{vmatrix} = ([-]4)(-1) - (5)(-2) = 4 + 1,high,role_target=arith; picked depth=43.2%,arith,arith,False
NC_4x4_det_297,-,+,1996,0.4187,0.0984,0.4186,False,\ 2 & 5 \end{vmatrix} - ([-]1) \begin{vmatrix} 4 & 0,high,role_target=parity; picked depth=41.9%,parity,parity,False
NC_4x4_det_432,-,+,2518,0.529,0.2481,0.5317,False,"12} \) is:

\[
C_{12} = ([-]1)^{1+2} \det(M_{12}) = ",high,role_target=parity; picked depth=52.9%,parity,parity,False
NC_4x4_det_237,-,+,1712,0.6171,0.2412,0.6498,False,"s to:

\[
\det(M_{22}) = [-]5 \cdot C_{23}
\]

where",high,role_target=parity; picked depth=61.7%,parity,parity,False
NC_4x4_det_218,-,+,2729,0.7116,0.1491,0.7137,False,"row:

\[
\det(M_{34}) = ([-]5) \begin{vmatrix} 
-1 &",high,role_target=parity; picked depth=71.2%,parity,parity,False
NC_4x4_det_559,-,+,1228,0.2667,0.1792,0.236,False,", we have:

\[
\det(A) = [-](-1) \det(A_{41}) + 2 \d",high,role_target=parity; picked depth=26.7%,parity,parity,False
NC_4x4_det_410,-,+,3246,0.6641,0.0896,0.6777,False,"13} \) is:

\[
C_{13} = ([-]1)^{1+3} \det(M_{13}) = ",high,role_target=parity; picked depth=66.4%,parity,parity,False
NC_4x4_det_040,+,-,1918,0.6638,0.6391,0.6788,False, \\ 1 & -1 \end{vmatrix} [+] 5 \begin{vmatrix} 2 & 3,high,role_target=parity; picked depth=66.4%,parity,parity,False
NC_4x4_det_321,-,+,2965,0.6724,0.1009,0.6819,False,"M_{13}) = (-1)^4 (-28) = [-]28
\]

### Step 3: Calcu",high,role_target=parity; picked depth=67.2%,parity,parity,False
