id,wrong_sign_deep,correct_sign_deep,sign_char_offset_deep,rel_pos_deep,rel_pos_c1,target_depth,same_as_c1,context_check_deep,confidence,reasoning,role_deep,role_target,fallback
ibp_pts_n3_b4,-,+,1413,0.3885,0.213,0.3896,False," x^2 \cos(4x) \, dx = uv [-] \int v \, du
\]

\[
= x",high,role_target=formula; picked depth=38.9%,formula,formula,False
ibp_ptc_n8_b199,-,+,1815,0.5815,0.2114,0.5813,False,{8x^7}{199^2} \cos(199x) [-] \frac{56}{199^2} \int x,high,role_target=symbolic; picked depth=58.1%,symbolic,symbolic,False
ibp_pts_n1_b2,-,+,1560,0.5828,0.5458,0.583,False,", dx
\]

Simplify:

\[
= [-]\frac{1}{2} x \cos(2x) +",high,role_target=symbolic; picked depth=58.3%,symbolic,symbolic,False
ibp_ptc_n10_b197,+,-,2131,0.6568,0.1949,0.6564,False,c{1}{197} x^n \sin(197x) [+] \frac{n}{197} \int x^{n,high,role_target=symbolic; picked depth=65.7%,symbolic,symbolic,False
ibp_ptc_n8_b113,-,+,1650,0.514,0.2099,0.5198,False,) - \frac{8}{113} \left( [-]\frac{x^7}{113} \cos(113,high,role_target=symbolic; picked depth=51.4%,symbolic,symbolic,False
ibp_pts_n5_b199,-,+,3293,0.6354,0.1046,0.636,False,0}{199^3} x^3 \cos(199x) [-] \frac{60}{199^3} \left(,high,role_target=symbolic; picked depth=63.5%,symbolic,symbolic,False
ibp_ptc_n5_b47,-,+,1904,0.5437,0.1839,0.5232,False,"(47x) \, dx\):

Choose:

[-] \( u = x^3 \) \(\Righta",high,role_target=symbolic; picked depth=54.4%,symbolic,symbolic,False
ibp_pts_n5_b59,+,-,3366,0.64,0.1287,0.6426,False,c{5}{59^2} x^4 \sin(59x) [+] \frac{20}{59^3} x^3 \co,high,role_target=symbolic; picked depth=64.0%,symbolic,symbolic,False
ibp_ptc_n4_b5,+,-,2537,0.6451,0.1481,0.6463,False,ac{12}{125} x^2 \sin(5x) [+] \frac{24}{125} \int x \,high,role_target=symbolic; picked depth=64.5%,symbolic,symbolic,False
ibp_ptc_n7_b197,-,+,2385,0.6537,0.1633,0.655,False,"\( du = 4x^3 \, dx \)
   [-] \( dv = \sin(197x) \, d",high,role_target=symbolic; picked depth=65.4%,symbolic,symbolic,False
ibp_ptc_n5_b113,-,+,3009,0.6035,0.1134,0.6021,False,", dx
\]

Simplify:

\[
= [-]\frac{x^2}{113} \cos(113",high,role_target=symbolic; picked depth=60.4%,symbolic,symbolic,False
ibp_ptc_n8_b151,-,+,1815,0.5836,0.2122,0.5822,False,{8x^7}{151^2} \cos(151x) [-] \frac{56}{151^2} \int x,high,role_target=symbolic; picked depth=58.4%,symbolic,symbolic,False
ibp_ptc_n5_b167,-,+,1835,0.4998,0.1812,0.5183,False,5}{167^2} x^4 \cos(167x) [-] \frac{20}{167^2} \int x,high,role_target=symbolic; picked depth=50.0%,symbolic,symbolic,False
ibp_ptc_n8_b191,-,+,1815,0.571,0.2076,0.5683,False,{8x^7}{191^2} \cos(191x) [-] \frac{56}{191^2} \int x,high,role_target=symbolic; picked depth=57.1%,symbolic,symbolic,False
ibp_pts_n8_b139,-,+,1870,0.5692,0.1846,0.6158,False,8}{139^2} x^7 \sin(139x) [-] \frac{56}{139^2} \int x,high,role_target=symbolic; picked depth=56.9%,symbolic,symbolic,False
ibp_ptc_n5_b227,+,-,3043,0.6119,0.1168,0.6106,False,rac{x^2}{227} \cos(227x) [+] \frac{2}{227} \int x \c,high,role_target=symbolic; picked depth=61.2%,symbolic,symbolic,False
ibp_pts_n4_b1,-,+,2199,0.7489,0.1915,0.7487,False,"n(x) + \cos(x))
\]

\[
= [-]x^2 \cos(x) + 2x \sin(x)",high,role_target=symbolic; picked depth=74.9%,symbolic,symbolic,False
ibp_ptc_n5_b229,-,+,2966,0.59,0.1161,0.596,False,}{229} \cos(229x) - \int [-]\frac{1}{229} \cos(229x),high,role_target=symbolic; picked depth=59.0%,symbolic,symbolic,False
ibp_pts_n2_b2,+,-,2724,0.8317,0.3857,0.8228,False,"= \frac{1}{2} x \sin(2x) [+] \frac{1}{4} \cos(2x)
\]",high,role_target=symbolic; picked depth=83.2%,symbolic,symbolic,False
ibp_ptc_n5_b223,-,+,2966,0.59,0.1161,0.5943,False,}{223} \cos(223x) - \int [-]\frac{1}{223} \cos(223x),high,role_target=symbolic; picked depth=59.0%,symbolic,symbolic,False
ibp_ptc_n5_b151,-,+,2954,0.5905,0.1168,0.5918,False,}{151} \cos(151x) - \int [-]\frac{1}{151} \cos(151x),high,role_target=symbolic; picked depth=59.0%,symbolic,symbolic,False
ibp_ptc_n5_b199,-,+,2919,0.5822,0.1168,0.5861,False,"t x^2 \sin(199x) \, dx = [-]\frac{x^2}{199} \cos(199",high,role_target=symbolic; picked depth=58.2%,symbolic,symbolic,False
ibp_pts_n8_b257,-,+,1870,0.5694,0.1847,0.5811,False,8}{257^2} x^7 \sin(257x) [-] \frac{56}{257^2} \int x,high,role_target=symbolic; picked depth=56.9%,symbolic,symbolic,False
ibp_pts_n8_b197,-,+,1880,0.5677,0.1885,0.574,False,8}{197^2} x^7 \sin(197x) [-] \frac{56}{197^2} \int x,high,role_target=symbolic; picked depth=56.8%,symbolic,symbolic,False
ibp_pts_n2_b15,-,+,2459,0.8545,0.337,0.8528,False,"ght)
\]

Simplify:

\[
= [-]\frac{1}{15} x^2 \cos(15",high,role_target=symbolic; picked depth=85.5%,symbolic,symbolic,False
ibp_pts_n0_b2,+,-,2190,0.8526,0.331,0.853,False,ft( \frac{x}{2} \sin(2x) [+] \frac{1}{4} \cos(2x) \r,high,role_target=symbolic; picked depth=85.3%,symbolic,symbolic,False
ibp_pts_n8_b311,+,-,1866,0.564,0.1835,0.5683,False,c{1}{311} x^8 \cos(311x) [+] \frac{8}{311^2} x^7 \si,high,role_target=symbolic; picked depth=56.4%,symbolic,symbolic,False
ibp_pts_n7_b149,-,+,1887,0.5131,0.1615,0.568,False,7}{149^2} x^6 \sin(149x) [-] \frac{42}{149^2} \int x,high,role_target=symbolic; picked depth=51.3%,symbolic,symbolic,False
