model,phase,domain,n,n_ge2,n_excluded,wrote_plus,wrote_minus,n_late_unfilt,n_late_filt,median_depth_filt
Gemma-3-27B,discovery,det_error,92,67,25,46,46,60,47,0.901639
Gemma-3-27B,heldout,det_error,126,49,77,85,41,57,36,0.901639
Gemma-3-27B,pooled,det_error,218,116,102,131,87,117,83,0.901639
Gemma-3-27B,discovery,det_correct,50,49,1,17,33,29,29,0.901639
Gemma-3-27B,heldout,det_correct,138,120,18,45,93,33,31,0.213115
Gemma-3-27B,pooled,det_correct,188,169,19,62,126,62,60,0.213115
Gemma-3-27B,discovery,ibp_error,70,56,14,35,35,44,43,0.901639
Gemma-3-27B,heldout,ibp_error,73,45,28,44,29,31,28,0.901639
Gemma-3-27B,pooled,ibp_error,143,101,42,79,64,75,71,0.901639
Gemma-3-27B,discovery,ibp_correct,50,50,0,25,25,44,44,0.901639
Gemma-3-27B,heldout,ibp_correct,150,147,3,0,150,141,141,0.983607
Gemma-3-27B,pooled,ibp_correct,200,197,3,25,175,185,185,0.983607
Mistral-Small-24B,discovery,det_error,95,36,59,20,75,49,34,0.974359
Mistral-Small-24B,heldout,det_error,142,66,76,18,124,74,63,0.974359
Mistral-Small-24B,pooled,det_error,237,102,135,38,199,123,97,0.974359
Mistral-Small-24B,discovery,det_correct,78,71,7,21,57,71,70,1.000000
Mistral-Small-24B,heldout,det_correct,122,104,18,32,90,105,104,1.000000
Mistral-Small-24B,pooled,det_correct,200,175,25,53,147,176,174,1.000000
Mistral-Small-24B,discovery,ibp_error,39,29,10,0,39,31,29,0.974359
Mistral-Small-24B,heldout,ibp_error,70,31,39,11,59,39,28,1.000000
Mistral-Small-24B,pooled,ibp_error,109,60,49,11,98,70,57,1.000000
Mistral-Small-24B,discovery,ibp_correct,43,40,3,20,23,39,38,1.000000
Mistral-Small-24B,heldout,ibp_correct,156,150,6,65,91,152,147,1.000000
Mistral-Small-24B,pooled,ibp_correct,199,190,9,85,114,191,185,1.000000
Phi-4-14B,discovery,det_error,61,55,6,6,55,53,52,0.948718
Phi-4-14B,heldout,det_error,150,143,7,24,126,142,140,0.948718
Phi-4-14B,pooled,det_error,211,198,13,30,181,195,192,0.948718
Phi-4-14B,discovery,det_correct,50,48,2,11,39,43,43,0.948718
Phi-4-14B,heldout,det_correct,149,139,10,12,137,122,119,0.948718
Phi-4-14B,pooled,det_correct,199,187,12,23,176,165,162,0.948718
Phi-4-14B,discovery,ibp_error,40,36,4,0,40,40,36,1.000000
Phi-4-14B,heldout,ibp_error,77,58,19,8,69,71,58,1.000000
Phi-4-14B,pooled,ibp_error,117,94,23,8,109,111,94,1.000000
Phi-4-14B,discovery,ibp_correct,50,50,0,13,37,50,50,1.000000
Phi-4-14B,heldout,ibp_correct,146,146,0,53,93,146,146,1.000000
Phi-4-14B,pooled,ibp_correct,196,196,0,66,130,196,196,1.000000
Llama-3.3-70B,discovery,det_error,16,12,4,9,7,13,12,1.000000
Llama-3.3-70B,heldout,det_error,192,138,54,68,124,152,129,1.000000
Llama-3.3-70B,pooled,det_error,208,150,58,77,131,165,141,1.000000
Llama-3.3-70B,discovery,det_correct,80,79,1,18,62,80,79,1.000000
Llama-3.3-70B,heldout,det_correct,130,127,3,54,76,126,124,1.000000
Llama-3.3-70B,pooled,det_correct,210,206,4,72,138,206,203,1.000000
Llama-3.3-70B,discovery,ibp_error,22,14,8,7,15,15,13,1.000000
Llama-3.3-70B,heldout,ibp_error,21,18,3,6,15,18,18,1.000000
Llama-3.3-70B,pooled,ibp_error,43,32,11,13,30,33,31,1.000000
Llama-3.3-70B,discovery,ibp_correct,23,23,0,0,23,23,23,1.000000
Llama-3.3-70B,heldout,ibp_correct,47,47,0,46,1,47,47,1.000000
Llama-3.3-70B,pooled,ibp_correct,70,70,0,46,24,70,70,1.000000
Qwen-2.5-72B,discovery,det_error,59,43,16,30,29,43,35,0.974684
Qwen-2.5-72B,heldout,det_error,147,94,53,74,73,90,74,0.974684
Qwen-2.5-72B,pooled,det_error,206,137,69,104,102,133,109,0.974684
Qwen-2.5-72B,discovery,det_correct,47,32,15,11,36,33,29,0.974684
Qwen-2.5-72B,heldout,det_correct,141,107,34,18,123,95,90,0.974684
Qwen-2.5-72B,pooled,det_correct,188,139,49,29,159,128,119,0.974684
Qwen-2.5-72B,discovery,ibp_error,10,10,0,0,10,10,10,0.993671
Qwen-2.5-72B,heldout,ibp_error,26,23,3,0,26,25,23,0.987342
Qwen-2.5-72B,pooled,ibp_error,36,33,3,0,36,35,33,0.987342
Qwen-2.5-72B,discovery,ibp_correct,25,25,0,0,25,25,25,1.000000
Qwen-2.5-72B,heldout,ibp_correct,50,50,0,0,50,50,50,1.000000
Qwen-2.5-72B,pooled,ibp_correct,75,75,0,0,75,75,75,1.000000
Mistral-Large-675B,single,det_error,51,1,50,30,21,39,0,0.500000
