model,phase,domain,case_id,written_sign,final_lead,passes_filter,peak_layer,n_layers,rel_depth,late
Gemma-3-27B,discovery,det_error,NC_4x4_det_1858,+,1.1250,0,55,62,0.901639,1
Gemma-3-27B,discovery,det_error,NC2_4x4_det_0848,-,8.0391,1,5,62,0.081967,0
Gemma-3-27B,discovery,det_error,NC2_4x4_det_1034,+,15.3750,1,55,62,0.901639,1
Gemma-3-27B,discovery,det_error,NC2_4x4_det_0961,+,3.0000,1,55,62,0.901639,1
Gemma-3-27B,discovery,det_error,NC_4x4_det_1399,+,1.2500,0,55,62,0.901639,1
Gemma-3-27B,discovery,det_error,NC2_4x4_det_1578,+,6.7500,1,55,62,0.901639,1
Gemma-3-27B,discovery,det_error,NC_4x4_det_227,+,11.8750,1,55,62,0.901639,1
Gemma-3-27B,discovery,det_error,NC_4x4_det_0872,+,-1.6250,0,42,62,0.688525,0
Gemma-3-27B,discovery,det_error,NC2_4x4_det_0544,+,17.0000,1,55,62,0.901639,1
Gemma-3-27B,discovery,det_error,NC_4x4_det_769,+,14.6250,1,55,62,0.901639,1
Gemma-3-27B,discovery,det_error,NC_4x4_det_0938,+,6.8750,1,55,62,0.901639,1
Gemma-3-27B,discovery,det_error,NC_4x4_det_174,+,-1.7500,0,55,62,0.901639,1
Gemma-3-27B,discovery,det_error,NC2_4x4_det_1232,-,1.0000,0,13,62,0.213115,0
Gemma-3-27B,discovery,det_error,NC_4x4_det_283,+,2.5000,1,55,62,0.901639,1
Gemma-3-27B,discovery,det_error,NC_4x4_det_793,+,10.0000,1,55,62,0.901639,1
Gemma-3-27B,discovery,det_error,NC_4x4_det_139,+,22.1250,1,55,62,0.901639,1
Gemma-3-27B,discovery,det_error,NC2_4x4_det_1501,+,0.7500,0,55,62,0.901639,1
Gemma-3-27B,discovery,det_error,NC2_4x4_det_0864,-,10.0000,1,12,62,0.196721,0
Gemma-3-27B,discovery,det_error,NC2_4x4_det_0469,+,3.5000,1,55,62,0.901639,1
Gemma-3-27B,discovery,det_error,NC_4x4_det_775,-,21.5625,1,61,62,1.000000,1
Gemma-3-27B,discovery,det_error,NC_4x4_det_1138,-,8.8750,1,5,62,0.081967,0
Gemma-3-27B,discovery,det_error,NC_4x4_det_1697,+,0.0000,0,55,62,0.901639,1
Gemma-3-27B,discovery,det_error,NC_4x4_det_1730,+,0.7500,0,55,62,0.901639,1
Gemma-3-27B,discovery,det_error,NC2_4x4_det_0216,+,9.6250,1,55,62,0.901639,1
Gemma-3-27B,discovery,det_error,NC2_4x4_det_0944,-,8.8906,1,12,62,0.196721,0
