model,phase,domain,path,md5,n_cases,notes
Gemma-3-27B,discovery,det_error,Gemma/discovery_DET_error/s01_logit_lens/det_4x4_error_expA_logit_lens.json,70c5fd768950f66f12bf7ea6d27ebd6c,92,
Gemma-3-27B,discovery,det_correct,Gemma/discovery_DET_correct_deepsign/s01_logit_lens/det_4x4_correct_deepsign_expA_logit_lens.json,e240b62075214a72c9bbc920fa6e3c01,50,
Gemma-3-27B,discovery,ibp_error,Gemma/discovery_IBP_error/s01_logit_lens/ibp_error_expA_logit_lens.json,cb4724afe242b1598ada03162531d4f3,70,
Gemma-3-27B,discovery,ibp_correct,Gemma/discovery_IBP_correct_deepsign/s01_logit_lens/ibp_correct_deepsign_expA_logit_lens.json,429b8d09ae41b053b635e14a471f5de6,50,
Gemma-3-27B,heldout,det_error,Gemma/heldout_DET_error/s01_logit_lens/det_4x4_error_expA_logit_lens.json,cb94839dafbcd9be07e2d22b9b995beb,126,
Gemma-3-27B,heldout,det_correct,Gemma/heldout_DET_correct_deepsign/s01_logit_lens/det_4x4_correct_deepsign_expA_logit_lens.json,8f0fe69af9e404549132a7aaea862252,138,
Gemma-3-27B,heldout,ibp_error,Gemma/heldout_IBP_error/s01_logit_lens/ibp_error_expA_logit_lens.json,aca0f40c0857c3dfd306c8db1b31bd6e,73,
Gemma-3-27B,heldout,ibp_correct,Gemma/heldout_IBP_correct_deepsign/s01_logit_lens/ibp_correct_deepsign_expA_logit_lens.json,3f7bd6eb42d40897d5b7250fed26b84e,150,
Phi-4-14B,discovery,det_error,Phi/discovery_DET_error/s01_logit_lens/det_4x4_error_expA_logit_lens.json,a2f51dce9fe3a15fcd6ca3af4bcf03e4,61,
Phi-4-14B,discovery,det_correct,Phi/discovery_DET_correct_deepsign/s01_logit_lens/det_4x4_correct_deepsign_expA_logit_lens.json,2016abe14174083c558c976f0541a158,50,
Phi-4-14B,discovery,ibp_error,Phi/discovery_IBP_error/s01_logit_lens/ibp_error_expA_logit_lens.json,5d42da1fe63965038c06c4c499f38050,40,
Phi-4-14B,discovery,ibp_correct,Phi/discovery_IBP_correct_deepsign/s01_logit_lens/ibp_correct_deepsign_expA_logit_lens.json,cf1df54a3a44cc1048298fa763777448,50,
Phi-4-14B,heldout,det_error,Phi/heldout_DET_error/s01_logit_lens/det_4x4_error_expA_logit_lens.json,91c22430e7c81e159865d842f3119ad3,150,
Phi-4-14B,heldout,det_correct,Phi/heldout_DET_correct_deepsign/s01_logit_lens/det_4x4_correct_deepsign_expA_logit_lens.json,0c0215f9af3c8b73cf62b7c29ed88d1a,149,
Phi-4-14B,heldout,ibp_error,Phi/heldout_IBP_error/s01_logit_lens/ibp_error_expA_logit_lens.json,8d99487e9e392d920323e707717b5a97,77,
Phi-4-14B,heldout,ibp_correct,Phi/heldout_IBP_correct_deepsign/s01_logit_lens/ibp_correct_deepsign_expA_logit_lens.json,78285c3d518a82dfeb3a8a3457c65614,146,
Mistral-Small-24B,discovery,det_error,Mistral-Small-24B/discovery_DET_error/s01_logit_lens/det_4x4_error_expA_logit_lens.json,4ff16660f7857f54383ce5e336570621,95,
Mistral-Small-24B,discovery,det_correct,Mistral-Small-24B/discovery_DET_correct_deepsign/s01_logit_lens/det_4x4_correct_deepsign_expA_logit_lens.json,1060dc9a276ab2588c79b7eed62f13cd,78,canonical release-repo copy; an ICML_paper copy at results/Mistral/det_4x4_correct_deepsign/v2_mean_ablation is a divergent probe-pick variant — do not use
Mistral-Small-24B,discovery,ibp_error,Mistral-Small-24B/discovery_IBP_error/s01_logit_lens/ibp_error_expA_logit_lens.json,412fe0ee94add31e283c44aea4b91d1f,39,
Mistral-Small-24B,discovery,ibp_correct,Mistral-Small-24B/discovery_IBP_correct_deepsign/s01_logit_lens/ibp_correct_deepsign_expA_logit_lens.json,20e73843f9a49fa17329a7c9d0ecbead,43,
Mistral-Small-24B,heldout,det_error,Mistral-Small-24B/heldout_DET_error/s01_logit_lens/det_4x4_error_expA_logit_lens.json,b9a563e9194978647c27eb5508e42ac2,142,
Mistral-Small-24B,heldout,det_correct,Mistral-Small-24B/heldout_DET_correct_deepsign/s01_logit_lens/det_4x4_correct_deepsign_expA_logit_lens.json,ffff6cb063890ec220a326cea036ec14,122,
Mistral-Small-24B,heldout,ibp_error,Mistral-Small-24B/heldout_IBP_error/s01_logit_lens/ibp_error_expA_logit_lens.json,4163b75f33bb66ec4de2d3db482407bc,70,
Mistral-Small-24B,heldout,ibp_correct,Mistral-Small-24B/heldout_IBP_correct_deepsign/s01_logit_lens/ibp_correct_deepsign_expA_logit_lens.json,5f5823b436bdb882f42695c97a52b0a7,156,
Llama-3.3-70B,discovery,det_error,Llama/discovery_4x4_DET/s01_logit_lens/llama_error_logit_lens.json,24409129d751c50ade3bcbc9f9a1d9bf,16,
Llama-3.3-70B,discovery,det_correct,Llama/discovery_4x4_DET/s01_logit_lens/llama_correct_logit_lens.json,cc3d09717f958dbd1264d20b9cf72f57,80,
Llama-3.3-70B,heldout,det_error,Llama/heldout_4x4_DET/s01_logit_lens/det_4x4_error_expA_logit_lens.json,931337d1c2b87b4e361f6886bb2d456d,192,
Llama-3.3-70B,heldout,det_correct,Llama/heldout_4x4_DET/s01_logit_lens/det_4x4_correct_expA_logit_lens.json,94cfe38d7963fac338a84ad01b329569,130,
Qwen-2.5-72B,discovery,det_error,Qwen/discovery_4x4_DET/s01_logit_lens/det_4x4_error_expA_logit_lens.json,7eb02433298bc0f1bbf90f63c1f237bc,59,
Qwen-2.5-72B,discovery,det_correct,Qwen/discovery_4x4_DET/s01_logit_lens/det_4x4_correct_expA_logit_lens.json,6f7882ce232bd536c50a622c3183c417,47,
Qwen-2.5-72B,heldout,det_error,Qwen/heldout_4x4_DET/s01_logit_lens/det_4x4_error_expA_logit_lens.json,88e23345aaf0c269914c7334f5fece4a,147,
Qwen-2.5-72B,heldout,det_correct,Qwen/heldout_4x4_DET/s01_logit_lens/det_4x4_correct_expA_logit_lens.json,790d3c157a475fd7238f4db9c4b069e4,141,
Llama-3.3-70B,discovery,ibp_error,Llama/discovery_IBP/s01_logit_lens/ibp_error_expA_logit_lens.json,367a0a385cebf0d8fdb09af916d00205,22,
Llama-3.3-70B,discovery,ibp_correct,Llama/discovery_IBP/s01_logit_lens/ibp_correct_expA_logit_lens.json,185ccda2f1e42ec4ca1e857041fb37cc,23,
Llama-3.3-70B,heldout,ibp_error,Llama/heldout_IBP/s01_logit_lens/ibp_error_expA_logit_lens.json,f60c4e65a95c574b67486218dd46429d,21,
Llama-3.3-70B,heldout,ibp_correct,Llama/heldout_IBP/s01_logit_lens/ibp_correct_expA_logit_lens.json,e2fb7584ad6ebc8cc39fdf811ecd6fda,47,
Qwen-2.5-72B,discovery,ibp_error,Qwen/discovery_IBP/s01_logit_lens/ibp_error_expA_logit_lens.json,508f50a82d972606c5f9803c8df58522,10,
Qwen-2.5-72B,discovery,ibp_correct,Qwen/discovery_IBP/s01_logit_lens/ibp_correct_expA_logit_lens.json,876c65e697a5ea0b54f773b681363c76,25,
Qwen-2.5-72B,heldout,ibp_error,Qwen/heldout_IBP/s01_logit_lens/ibp_error_expA_logit_lens.json,39a1728de758bc33a613a1d8bc182a7c,26,
Qwen-2.5-72B,heldout,ibp_correct,Qwen/heldout_IBP/s01_logit_lens/ibp_correct_expA_logit_lens.json,f9a47ff07cead33683cec35e0f95777b,50,
Mistral-Large-675B,single,det_error,Mistral-Large-675B/determinant/expA_logit_lens.json,6f4248aea6d2b1ca545e1d8e4e2a6a11,51,"behavioral only, 5x5 determinant task, errors only; 22-of-61 sampled layers — peaks are over the sampled grid; written sign stored in `wrong_sign`"
